level 3,level 2,level 1
_110000_北京市-3,_110000_北京市-2,_110101_东城区
_110000_北京市-3,_110000_北京市-2,_110102_西城区
_110000_北京市-3,_110000_北京市-2,_110105_朝阳区
_110000_北京市-3,_110000_北京市-2,_110106_丰台区
_110000_北京市-3,_110000_北京市-2,_110107_石景山区
_110000_北京市-3,_110000_北京市-2,_110108_海淀区
_110000_北京市-3,_110000_北京市-2,_110109_门头沟区
_110000_北京市-3,_110000_北京市-2,_110111_房山区
_110000_北京市-3,_110000_北京市-2,_110112_通州区
_110000_北京市-3,_110000_北京市-2,_110113_顺义区
_110000_北京市-3,_110000_北京市-2,_110114_昌平区
_110000_北京市-3,_110000_北京市-2,_110115_大兴区
_110000_北京市-3,_110000_北京市-2,_110116_怀柔区
_110000_北京市-3,_110000_北京市-2,_110117_平谷区
_110000_北京市-3,_110000_北京市-2,_110118_密云区
_110000_北京市-3,_110000_北京市-2,_110119_延庆区
_120000_天津市-3,_120000_天津市-2,_120101_和平区
_120000_天津市-3,_120000_天津市-2,_120102_河东区
_120000_天津市-3,_120000_天津市-2,_120103_河西区
_120000_天津市-3,_120000_天津市-2,_120104_南开区
_120000_天津市-3,_120000_天津市-2,_120105_河北区
_120000_天津市-3,_120000_天津市-2,_120106_红桥区
_120000_天津市-3,_120000_天津市-2,_120110_东丽区
_120000_天津市-3,_120000_天津市-2,_120111_西青区
_120000_天津市-3,_120000_天津市-2,_120112_津南区
_120000_天津市-3,_120000_天津市-2,_120113_北辰区
_120000_天津市-3,_120000_天津市-2,_120114_武清区
_120000_天津市-3,_120000_天津市-2,_120115_宝坻区
_120000_天津市-3,_120000_天津市-2,_120116_滨海新区
_120000_天津市-3,_120000_天津市-2,_120117_宁河区
_120000_天津市-3,_120000_天津市-2,_120118_静海区
_120000_天津市-3,_120000_天津市-2,_120119_蓟州区
_130000_河北省-3,_130100_石家庄市-2,_130102_长安区
_130000_河北省-3,_130100_石家庄市-2,_130104_桥西区
_130000_河北省-3,_130100_石家庄市-2,_130105_新华区
_130000_河北省-3,_130100_石家庄市-2,_130107_井陉矿区
_130000_河北省-3,_130100_石家庄市-2,_130108_裕华区
_130000_河北省-3,_130100_石家庄市-2,_130109_藁城区
_130000_河北省-3,_130100_石家庄市-2,_130110_鹿泉区
_130000_河北省-3,_130100_石家庄市-2,_130111_栾城区
_130000_河北省-3,_130100_石家庄市-2,_130121_井陉县
_130000_河北省-3,_130100_石家庄市-2,_130123_正定县
_130000_河北省-3,_130100_石家庄市-2,_130125_行唐县
_130000_河北省-3,_130100_石家庄市-2,_130126_灵寿县
_130000_河北省-3,_130100_石家庄市-2,_130127_高邑县
_130000_河北省-3,_130100_石家庄市-2,_130128_深泽县
_130000_河北省-3,_130100_石家庄市-2,_130129_赞皇县
_130000_河北省-3,_130100_石家庄市-2,_130130_无极县
_130000_河北省-3,_130100_石家庄市-2,_130131_平山县
_130000_河北省-3,_130100_石家庄市-2,_130132_元氏县
_130000_河北省-3,_130100_石家庄市-2,_130133_赵县
_130000_河北省-3,_130100_石家庄市-2,_130183_晋州市
_130000_河北省-3,_130100_石家庄市-2,_130184_新乐市
_130000_河北省-3,_130181_辛集市-2,_130181_辛集市
_130000_河北省-3,_130200_唐山市-2,_130202_路南区
_130000_河北省-3,_130200_唐山市-2,_130203_路北区
_130000_河北省-3,_130200_唐山市-2,_130204_古冶区
_130000_河北省-3,_130200_唐山市-2,_130205_开平区
_130000_河北省-3,_130200_唐山市-2,_130207_丰南区
_130000_河北省-3,_130200_唐山市-2,_130208_丰润区
_130000_河北省-3,_130200_唐山市-2,_130209_曹妃甸区
_130000_河北省-3,_130200_唐山市-2,_130224_滦南县
_130000_河北省-3,_130200_唐山市-2,_130225_乐亭县
_130000_河北省-3,_130200_唐山市-2,_130227_迁西县
_130000_河北省-3,_130200_唐山市-2,_130229_玉田县
_130000_河北省-3,_130200_唐山市-2,_130281_遵化市
_130000_河北省-3,_130200_唐山市-2,_130283_迁安市
_130000_河北省-3,_130200_唐山市-2,_130284_滦州市
_130000_河北省-3,_130300_秦皇岛市-2,_130302_海港区
_130000_河北省-3,_130300_秦皇岛市-2,_130303_山海关区
_130000_河北省-3,_130300_秦皇岛市-2,_130304_北戴河区
_130000_河北省-3,_130300_秦皇岛市-2,_130306_抚宁区
_130000_河北省-3,_130300_秦皇岛市-2,_130321_青龙满族自治县
_130000_河北省-3,_130300_秦皇岛市-2,_130322_昌黎县
_130000_河北省-3,_130300_秦皇岛市-2,_130324_卢龙县
_130000_河北省-3,_130400_邯郸市-2,_130402_邯山区
_130000_河北省-3,_130400_邯郸市-2,_130403_丛台区
_130000_河北省-3,_130400_邯郸市-2,_130404_复兴区
_130000_河北省-3,_130400_邯郸市-2,_130406_峰峰矿区
_130000_河北省-3,_130400_邯郸市-2,_130407_肥乡区
_130000_河北省-3,_130400_邯郸市-2,_130408_永年区
_130000_河北省-3,_130400_邯郸市-2,_130423_临漳县
_130000_河北省-3,_130400_邯郸市-2,_130424_成安县
_130000_河北省-3,_130400_邯郸市-2,_130425_大名县
_130000_河北省-3,_130400_邯郸市-2,_130426_涉县
_130000_河北省-3,_130400_邯郸市-2,_130427_磁县
_130000_河北省-3,_130400_邯郸市-2,_130430_邱县
_130000_河北省-3,_130400_邯郸市-2,_130431_鸡泽县
_130000_河北省-3,_130400_邯郸市-2,_130432_广平县
_130000_河北省-3,_130400_邯郸市-2,_130433_馆陶县
_130000_河北省-3,_130400_邯郸市-2,_130434_魏县
_130000_河北省-3,_130400_邯郸市-2,_130435_曲周县
_130000_河北省-3,_130400_邯郸市-2,_130481_武安市
_130000_河北省-3,_130500_邢台市-2,_130502_襄都区
_130000_河北省-3,_130500_邢台市-2,_130503_信都区
_130000_河北省-3,_130500_邢台市-2,_130505_任泽区
_130000_河北省-3,_130500_邢台市-2,_130506_南和区
_130000_河北省-3,_130500_邢台市-2,_130522_临城县
_130000_河北省-3,_130500_邢台市-2,_130523_内丘县
_130000_河北省-3,_130500_邢台市-2,_130524_柏乡县
_130000_河北省-3,_130500_邢台市-2,_130525_隆尧县
_130000_河北省-3,_130500_邢台市-2,_130528_宁晋县
_130000_河北省-3,_130500_邢台市-2,_130529_巨鹿县
_130000_河北省-3,_130500_邢台市-2,_130530_新河县
_130000_河北省-3,_130500_邢台市-2,_130531_广宗县
_130000_河北省-3,_130500_邢台市-2,_130532_平乡县
_130000_河北省-3,_130500_邢台市-2,_130533_威县
_130000_河北省-3,_130500_邢台市-2,_130534_清河县
_130000_河北省-3,_130500_邢台市-2,_130535_临西县
_130000_河北省-3,_130500_邢台市-2,_130581_南宫市
_130000_河北省-3,_130500_邢台市-2,_130582_沙河市
_130000_河北省-3,_130600_保定市-2,_130602_竞秀区
_130000_河北省-3,_130600_保定市-2,_130606_莲池区
_130000_河北省-3,_130600_保定市-2,_130607_满城区
_130000_河北省-3,_130600_保定市-2,_130608_清苑区
_130000_河北省-3,_130600_保定市-2,_130609_徐水区
_130000_河北省-3,_130600_保定市-2,_130623_涞水县
_130000_河北省-3,_130600_保定市-2,_130624_阜平县
_130000_河北省-3,_130600_保定市-2,_130626_定兴县
_130000_河北省-3,_130600_保定市-2,_130627_唐县
_130000_河北省-3,_130600_保定市-2,_130628_高阳县
_130000_河北省-3,_130600_保定市-2,_130630_涞源县
_130000_河北省-3,_130600_保定市-2,_130631_望都县
_130000_河北省-3,_130600_保定市-2,_130633_易县
_130000_河北省-3,_130600_保定市-2,_130634_曲阳县
_130000_河北省-3,_130600_保定市-2,_130635_蠡县
_130000_河北省-3,_130600_保定市-2,_130636_顺平县
_130000_河北省-3,_130600_保定市-2,_130637_博野县
_130000_河北省-3,_130600_保定市-2,_130681_涿州市
_130000_河北省-3,_130600_保定市-2,_130683_安国市
_130000_河北省-3,_130600_保定市-2,_130684_高碑店市
_130000_河北省-3,_130682_定州市-2,_130682_定州市
_130000_河北省-3,_130700_张家口市-2,_130702_桥东区
_130000_河北省-3,_130700_张家口市-2,_130703_桥西区
_130000_河北省-3,_130700_张家口市-2,_130705_宣化区
_130000_河北省-3,_130700_张家口市-2,_130706_下花园区
_130000_河北省-3,_130700_张家口市-2,_130708_万全区
_130000_河北省-3,_130700_张家口市-2,_130709_崇礼区
_130000_河北省-3,_130700_张家口市-2,_130722_张北县
_130000_河北省-3,_130700_张家口市-2,_130723_康保县
_130000_河北省-3,_130700_张家口市-2,_130724_沽源县
_130000_河北省-3,_130700_张家口市-2,_130725_尚义县
_130000_河北省-3,_130700_张家口市-2,_130726_蔚县
_130000_河北省-3,_130700_张家口市-2,_130727_阳原县
_130000_河北省-3,_130700_张家口市-2,_130728_怀安县
_130000_河北省-3,_130700_张家口市-2,_130730_怀来县
_130000_河北省-3,_130700_张家口市-2,_130731_涿鹿县
_130000_河北省-3,_130700_张家口市-2,_130732_赤城县
_130000_河北省-3,_130800_承德市-2,_130802_双桥区
_130000_河北省-3,_130800_承德市-2,_130803_双滦区
_130000_河北省-3,_130800_承德市-2,_130804_鹰手营子矿区
_130000_河北省-3,_130800_承德市-2,_130821_承德县
_130000_河北省-3,_130800_承德市-2,_130822_兴隆县
_130000_河北省-3,_130800_承德市-2,_130824_滦平县
_130000_河北省-3,_130800_承德市-2,_130825_隆化县
_130000_河北省-3,_130800_承德市-2,_130826_丰宁满族自治县
_130000_河北省-3,_130800_承德市-2,_130827_宽城满族自治县
_130000_河北省-3,_130800_承德市-2,_130828_围场满族蒙古族自治县
_130000_河北省-3,_130800_承德市-2,_130881_平泉市
_130000_河北省-3,_130900_沧州市-2,_130902_新华区
_130000_河北省-3,_130900_沧州市-2,_130903_运河区
_130000_河北省-3,_130900_沧州市-2,_130921_沧县
_130000_河北省-3,_130900_沧州市-2,_130922_青县
_130000_河北省-3,_130900_沧州市-2,_130923_东光县
_130000_河北省-3,_130900_沧州市-2,_130924_海兴县
_130000_河北省-3,_130900_沧州市-2,_130925_盐山县
_130000_河北省-3,_130900_沧州市-2,_130926_肃宁县
_130000_河北省-3,_130900_沧州市-2,_130927_南皮县
_130000_河北省-3,_130900_沧州市-2,_130928_吴桥县
_130000_河北省-3,_130900_沧州市-2,_130929_献县
_130000_河北省-3,_130900_沧州市-2,_130930_孟村回族自治县
_130000_河北省-3,_130900_沧州市-2,_130981_泊头市
_130000_河北省-3,_130900_沧州市-2,_130982_任丘市
_130000_河北省-3,_130900_沧州市-2,_130983_黄骅市
_130000_河北省-3,_130900_沧州市-2,_130984_河间市
_130000_河北省-3,_131000_廊坊市-2,_131002_安次区
_130000_河北省-3,_131000_廊坊市-2,_131003_广阳区
_130000_河北省-3,_131000_廊坊市-2,_131022_固安县
_130000_河北省-3,_131000_廊坊市-2,_131023_永清县
_130000_河北省-3,_131000_廊坊市-2,_131024_香河县
_130000_河北省-3,_131000_廊坊市-2,_131025_大城县
_130000_河北省-3,_131000_廊坊市-2,_131026_文安县
_130000_河北省-3,_131000_廊坊市-2,_131028_大厂回族自治县
_130000_河北省-3,_131000_廊坊市-2,_131081_霸州市
_130000_河北省-3,_131000_廊坊市-2,_131082_三河市
_130000_河北省-3,_131100_衡水市-2,_131102_桃城区
_130000_河北省-3,_131100_衡水市-2,_131103_冀州区
_130000_河北省-3,_131100_衡水市-2,_131121_枣强县
_130000_河北省-3,_131100_衡水市-2,_131122_武邑县
_130000_河北省-3,_131100_衡水市-2,_131123_武强县
_130000_河北省-3,_131100_衡水市-2,_131124_饶阳县
_130000_河北省-3,_131100_衡水市-2,_131125_安平县
_130000_河北省-3,_131100_衡水市-2,_131126_故城县
_130000_河北省-3,_131100_衡水市-2,_131127_景县
_130000_河北省-3,_131100_衡水市-2,_131128_阜城县
_130000_河北省-3,_131100_衡水市-2,_131182_深州市
_130000_河北省-3,_132903_华北油田地区-2,_132903_华北油田地区
_130000_河北省-3,_139900_雄安新区-2,_130629_容城县
_130000_河北省-3,_139900_雄安新区-2,_130632_安新县
_130000_河北省-3,_139900_雄安新区-2,_130638_雄县
_140000_山西省-3,_140100_太原市-2,_140105_小店区
_140000_山西省-3,_140100_太原市-2,_140106_迎泽区
_140000_山西省-3,_140100_太原市-2,_140107_杏花岭区
_140000_山西省-3,_140100_太原市-2,_140108_尖草坪区
_140000_山西省-3,_140100_太原市-2,_140109_万柏林区
_140000_山西省-3,_140100_太原市-2,_140110_晋源区
_140000_山西省-3,_140100_太原市-2,_140121_清徐县
_140000_山西省-3,_140100_太原市-2,_140122_阳曲县
_140000_山西省-3,_140100_太原市-2,_140123_娄烦县
_140000_山西省-3,_140100_太原市-2,_140181_古交市
_140000_山西省-3,_140200_大同市-2,_140212_新荣区
_140000_山西省-3,_140200_大同市-2,_140213_平城区
_140000_山西省-3,_140200_大同市-2,_140214_云冈区
_140000_山西省-3,_140200_大同市-2,_140215_云州区
_140000_山西省-3,_140200_大同市-2,_140221_阳高县
_140000_山西省-3,_140200_大同市-2,_140222_天镇县
_140000_山西省-3,_140200_大同市-2,_140223_广灵县
_140000_山西省-3,_140200_大同市-2,_140224_灵丘县
_140000_山西省-3,_140200_大同市-2,_140225_浑源县
_140000_山西省-3,_140200_大同市-2,_140226_左云县
_140000_山西省-3,_140300_阳泉市-2,_140302_城区
_140000_山西省-3,_140300_阳泉市-2,_140303_矿区
_140000_山西省-3,_140300_阳泉市-2,_140311_郊区
_140000_山西省-3,_140300_阳泉市-2,_140321_平定县
_140000_山西省-3,_140300_阳泉市-2,_140322_盂县
_140000_山西省-3,_140400_长治市-2,_140403_潞州区
_140000_山西省-3,_140400_长治市-2,_140404_上党区
_140000_山西省-3,_140400_长治市-2,_140405_屯留区
_140000_山西省-3,_140400_长治市-2,_140406_潞城区
_140000_山西省-3,_140400_长治市-2,_140423_襄垣县
_140000_山西省-3,_140400_长治市-2,_140425_平顺县
_140000_山西省-3,_140400_长治市-2,_140426_黎城县
_140000_山西省-3,_140400_长治市-2,_140427_壶关县
_140000_山西省-3,_140400_长治市-2,_140428_长子县
_140000_山西省-3,_140400_长治市-2,_140429_武乡县
_140000_山西省-3,_140400_长治市-2,_140430_沁县
_140000_山西省-3,_140400_长治市-2,_140431_沁源县
_140000_山西省-3,_140500_晋城市-2,_140502_城区
_140000_山西省-3,_140500_晋城市-2,_140521_沁水县
_140000_山西省-3,_140500_晋城市-2,_140522_阳城县
_140000_山西省-3,_140500_晋城市-2,_140524_陵川县
_140000_山西省-3,_140500_晋城市-2,_140525_泽州县
_140000_山西省-3,_140500_晋城市-2,_140581_高平市
_140000_山西省-3,_140600_朔州市-2,_140602_朔城区
_140000_山西省-3,_140600_朔州市-2,_140603_平鲁区
_140000_山西省-3,_140600_朔州市-2,_140621_山阴县
_140000_山西省-3,_140600_朔州市-2,_140622_应县
_140000_山西省-3,_140600_朔州市-2,_140623_右玉县
_140000_山西省-3,_140600_朔州市-2,_140681_怀仁市
_140000_山西省-3,_140700_晋中市-2,_140702_榆次区
_140000_山西省-3,_140700_晋中市-2,_140703_太谷区
_140000_山西省-3,_140700_晋中市-2,_140721_榆社县
_140000_山西省-3,_140700_晋中市-2,_140722_左权县
_140000_山西省-3,_140700_晋中市-2,_140723_和顺县
_140000_山西省-3,_140700_晋中市-2,_140724_昔阳县
_140000_山西省-3,_140700_晋中市-2,_140725_寿阳县
_140000_山西省-3,_140700_晋中市-2,_140727_祁县
_140000_山西省-3,_140700_晋中市-2,_140728_平遥县
_140000_山西省-3,_140700_晋中市-2,_140729_灵石县
_140000_山西省-3,_140700_晋中市-2,_140781_介休市
_140000_山西省-3,_140800_运城市-2,_140802_盐湖区
_140000_山西省-3,_140800_运城市-2,_140821_临猗县
_140000_山西省-3,_140800_运城市-2,_140822_万荣县
_140000_山西省-3,_140800_运城市-2,_140823_闻喜县
_140000_山西省-3,_140800_运城市-2,_140824_稷山县
_140000_山西省-3,_140800_运城市-2,_140825_新绛县
_140000_山西省-3,_140800_运城市-2,_140826_绛县
_140000_山西省-3,_140800_运城市-2,_140827_垣曲县
_140000_山西省-3,_140800_运城市-2,_140828_夏县
_140000_山西省-3,_140800_运城市-2,_140829_平陆县
_140000_山西省-3,_140800_运城市-2,_140830_芮城县
_140000_山西省-3,_140800_运城市-2,_140881_永济市
